CLUB,PLAYER,Market Value (EUROS)
Chelsea ,Marc Cucurella,28000000
Chelsea ,Christopher Nkunku,75000000
Chelsea ,Trevoh Chalobah,18000000
Chelsea ,Jadon Sancho,32000000
Chelsea ,Robert Sánchez,28000000
Chelsea ,Benoît Badiashile,35000000
Chelsea ,Reece James,55000000
Chelsea ,Kiernan Dewsbury-Hall,30000000
Chelsea ,Wesley Fofana,40000000
Chelsea ,Pedro Neto,32000000
Chelsea ,Lucas Bergström,500000
Chelsea ,Noni Madueke,25000000
Chelsea ,Mykhaylo Mudryk,45000000
Chelsea ,Josh Brooking,600000
Chelsea ,Cole Palmer,32000000
Chelsea ,Filip Jørgensen,5000000
Chelsea ,Bashir Humphreys,5000000
Chelsea ,Levi Colwill,42000000
Chelsea ,Malo Gusto,25000000
Chelsea ,Roméo Lavia,50000000
Chelsea ,Enzo Fernández,80000000
Chelsea ,Alex Matos,200000
Chelsea ,Jimi Tauriainen,200000
Chelsea ,Moisés Caicedo,90000000
Chelsea ,Teddy Sharman-Lowe,300000
Chelsea ,Dylan Williams,200000
Chelsea ,Eddie Beach,250000
Chelsea ,Nicolas Jackson,35000000
Chelsea ,David Datro Fofana,8000000
Chelsea ,Alfie Gilchrist,200000
Chelsea ,Billy Gee,250000
Chelsea ,Leo Castledine,400000
Chelsea ,Zak Sturge,250000
Chelsea ,Ronnie Stutter,200000
Chelsea ,Max Merrick,100000
Chelsea ,Ted Curd,150000
Chelsea ,Mason Burstow,1500000
Chelsea ,Ishé Samuels-Smith,500000
Chelsea ,Omari Kellyman,1000000
Chelsea ,Marc Guiu,2500000
Chelsea ,Harrison Murray-Campbell,250000
Chelsea ,Josh Acheampong,300000
Chelsea ,Mathis Amougou,300000
Chelsea ,Ollie Harrison,300000
Chelsea ,Deivid Washington,9000000
Chelsea ,Aarón Anselmino,300000
Everton ,Andy Lonergan,100000
Everton ,Ashley Young,600000
Everton ,Asmir Begovic,400000
Everton ,Séamus Coleman,900000
Everton ,Michael Keane,7000000
Everton ,Idrissa Gueye,4000000
Everton ,Abdoulaye Doucouré,12000000
Everton ,Jordan Pickford,22000000
Everton ,James Tarkowski,13000000
Everton ,Orel Mangala,20000000
Everton ,Dominic Calvert-Lewin,22000000
Everton ,João Virgínia,800000
Everton ,Vitaliy Mykolenko,28000000
Everton ,Jack Harrison,22000000
Everton ,Nathan Patterson,15000000
Everton ,James Garner,20000000
Everton ,Jesper Lindstrøm,25000000
Everton ,Armando Broja,28000000
Everton ,MacKenzie Hunt,200000
Everton ,Dwight McNeil,20000000
Everton ,Beto,22000000
Everton ,Iliman Ndiaye,18000000
Everton ,Lewis Dobbin,1000000
Everton ,Lewis Warrington,500000
Everton ,Jarrad Branthwaite,18000000
Everton ,Tyler Onyango,500000
Everton ,Tom Cannon,6000000
Everton ,Chermiti,9000000
Everton ,Tim Iroegbunam,4000000
Everton ,Jake O'Brien,1500000
Everton ,Carlos Alcaraz,15000000
Everton ,Jenson Metcalfe,150000
